	crp	esr	das28crp	rf_tit	acpa_tit
AAK1	.	.	*	.	.
ADAM2	.	.	.	*	.
ADAM29	.	.	.	*	.
AFP	.	.	*	.	.
AK2	.	.	*	.	.
AR	.	.	.	*	.
ASB1	*	.	.	.	.
BRDT	.	.	.	*	.
C6	*	.	.	.	.
CAMK1	.	.	*	.	.
CAMK4	*	.	.	*	.
CCT5	.	.	*	.	.
CD96	.	.	.	*	.
CHI3L1	.	.	.	*	.
CT47A1	.	.	*	.	.
CYP1B1	.	.	.	*	.
DGKA	.	.	.	*	.
DUSP6	.	.	.	*	.
DYNC1LI2	*	.	.	.	.
E6	.	.	*	.	.
EGFR_ext	.	.	.	*	.
ETNK2	.	.	*	.	.
FGFR1_int	.	.	.	*	.
GLS2	.	.	*	.	.
GRB7	.	.	.	*	.
GTF2B	.	.	.	.	*
HIST1H1C	.	.	.	*	.
HK2	.	.	.	*	.
HPCAL1	.	.	*	.	.
IP6K2	.	.	.	.	*
KLF6	.	.	.	.	*
KRT15	.	.	.	*	.
LDHC	.	.	*	.	.
LEMD1	.	.	*	.	.
LIPI	.	.	.	*	.
MAPK6	.	.	*	.	.
MCM5	.	.	*	.	.
MPP5	.	.	.	*	.
MYD88	.	.	*	.	.
NAP1L4	.	.	*	.	.
NLK	.	.	.	.	*
PAK5	.	.	*	.	.
PDGFB	.	.	.	.	*
PHF5A	*	.	.	*	.
PPP2R1B	.	.	.	*	.
PRDX6	.	.	.	*	.
PRKAR1A	*	.	.	.	.
RFK	.	.	*	.	.
RPL17	.	.	.	*	.
RPS6KB2	.	.	.	*	.
RRAS	.	.	.	*	.
RRAS2	.	.	.	*	.
SBDS	.	.	*	.	.
SDHB	.	.	.	.	*
SFN	.	.	*	.	.
SH2B1	.	*	.	.	.
SLCO6A1	.	*	.	.	.
SOX2	.	.	*	.	.
STAM	.	.	.	*	.
STAT4	.	.	.	*	.
STK17B	.	.	.	*	.
TFRC	.	.	.	.	*
TMEM108	.	.	*	.	.
TRAF2	.	.	.	*	.
UCHL3	.	.	*	.	.
VAV1	.	.	*	.	.
WISP3	.	.	.	*	.
ZKSCAN4	.	.	.	*	.
