	crp	esr	das28crp	rf_tit	acpa_tit
AAK1	0.0	0.0	0.5040451898139	0.0	0.0
ADAM2	0.0	0.0	0.0	0.4723515938290038	0.0
ADAM29	0.0	0.0	0.0	0.4897174612491877	0.0
AFP	0.0	0.0	-0.5070229007633588	0.0	0.0
AK2	0.0	0.0	-0.5916654014896052	0.0	0.0
AR	0.0	0.0	0.0	0.5070833286693717	0.0
ASB1	0.5509452995106848	0.0	0.0	0.0	0.0
BRDT	0.0	0.0	0.0	0.4929425509129362	0.0
C6	0.473348562590738	0.0	0.0	0.0	0.0
CAMK1	0.0	0.0	-0.5223630041015039	0.0	0.0
CAMK4	-0.4912249443578905	0.0	0.0	-0.4747012841128958	0.0
CCT5	0.0	0.0	-0.6047931683957214	0.0	0.0
CD96	0.0	0.0	0.0	0.5165105138403286	0.0
CHI3L1	0.0	0.0	0.0	0.4855000363042858	0.0
CT47A1	0.0	0.0	-0.542913892154226	0.0	0.0
CYP1B1	0.0	0.0	0.0	0.4920108118278163	0.0
DGKA	0.0	0.0	0.0	0.5098122506925434	0.0
DUSP6	0.0	0.0	0.0	-0.4862442877651509	0.0
DYNC1LI2	0.4874995055150751	0.0	0.0	0.0	0.0
E6	0.0	0.0	-0.6463135474476235	0.0	0.0
EGFR_ext	0.0	0.0	0.0	0.4720376043885126	0.0
ETNK2	0.0	0.0	-0.5541138822000173	0.0	0.0
FGFR1_int	0.0	0.0	0.0	0.507145788893624	0.0
GLS2	0.0	0.0	-0.6021374045801527	0.0	0.0
GRB7	0.0	0.0	0.0	0.4907097965303411	0.0
GTF2B	0.0	0.0	0.0	0.0	0.4676779297928434
HIST1H1C	0.0	0.0	0.0	0.5209760226055188	0.0
HK2	0.0	0.0	0.0	0.4917021318114944	0.0
HPCAL1	0.0	0.0	-0.5452602719610088	0.0	0.0
IP6K2	0.0	0.0	0.0	0.0	0.470859412308441
KLF6	0.0	0.0	0.0	0.0	-0.4955487342859698
KRT15	0.0	0.0	0.0	-0.4713355390784652	0.0
LDHC	0.0	0.0	-0.497175147038952	0.0	0.0
LEMD1	0.0	0.0	-0.4948862826700981	0.0	0.0
LIPI	0.0	0.0	0.0	0.4914540479912061	0.0
MAPK6	0.0	0.0	0.5055716743378671	0.0	0.0
MCM5	0.0	0.0	0.5220577071967105	0.0	0.0
MPP5	0.0	0.0	0.0	0.5619790664599112	0.0
MYD88	0.0	0.0	0.6252863105419252	0.0	0.0
NAP1L4	0.0	0.0	-0.6032666838717544	0.0	0.0
NLK	0.0	0.0	0.0	0.0	-0.474491362981188
PAK5	0.0	0.0	0.4900015321934037	0.0	0.0
PDGFB	0.0	0.0	0.0	0.0	-0.5543711485760282
PHF5A	-0.5331556514413175	0.0	0.0	-0.5279223695735924	0.0
PPP2R1B	0.0	0.0	0.0	-0.5318917106982058	0.0
PRDX6	0.0	0.0	0.0	-0.5672593494417564	0.0
PRKAR1A	-0.4804089822802856	0.0	0.0	0.0	0.0
RFK	0.0	0.0	-0.5092352371953878	0.0	0.0
RPL17	0.0	0.0	0.0	0.4765690187739055	0.0
RPS6KB2	0.0	0.0	0.0	0.5331977985970636	0.0
RRAS	0.0	0.0	0.0	-0.5567000927270401	0.0
RRAS2	0.0	0.0	0.0	-0.5232087769881139	0.0
SBDS	0.0	0.0	0.4991601829454343	0.0	0.0
SDHB	0.0	0.0	0.0	0.0	-0.4807248066852805
SFN	0.0	0.0	-0.4964127671940651	0.0	0.0
SH2B1	0.0	-0.5034335329773085	0.0	0.0	0.0
SLCO6A1	0.0	0.5130410431486312	0.0	0.0	0.0
SOX2	0.0	0.0	0.5078638019200106	0.0	0.0
STAM	0.0	0.0	0.0	-0.4788017731565006	0.0
STAT4	0.0	0.0	0.0	-0.5251934475504206	0.0
STK17B	0.0	0.0	0.0	-0.4976561434984146	0.0
TFRC	0.0	0.0	0.0	0.0	-0.4735633273452929
TMEM108	0.0	0.0	-0.5016028145755529	0.0	0.0
TRAF2	0.0	0.0	0.0	-0.563150272054537	0.0
UCHL3	0.0	0.0	-0.5737404580152672	0.0	0.0
VAV1	0.0	0.0	0.5473973502945625	0.0	0.0
WISP3	0.0	0.0	0.0	0.4811530527417171	0.0
ZKSCAN4	0.0	0.0	0.0	0.4907097965303411	0.0
