	coef	cohenD	pval
A1BG	-21.392517360813	-0.154008166737486	0.493027042291894
AAK1	-817.084548612291	-0.251276048000057	0.264569738365653
AARS	40.0849131937924	0.340350449258522	0.132029625854337
ABCF1	63.8544357636875	0.437303994645995	0.054083536820668
ABCF3	-41.6549045122192	-0.0426477843674384	0.849235279631656
ABI1	2.23836805602086	0.01461007364607	0.948071872781422
ABL2	107.731293402218	0.29082126405862	0.197227603863131
ABT1	-53.6975347218648	-0.250437353606529	0.266154905414726
ACAT2	-175.564678818771	-0.285919932203911	0.204803766633009
ACPP	-33.9922743055417	-0.309523219522886	0.170235786051792
ACRBP	-49.0723784730521	-0.226040378905961	0.315197906813404
ACSL6	61.3787586806767	0.427485080476799	0.0595781023813131
ACTA1	11.2545225692393	0.106865150757427	0.634047036103595
ACTB	-36.5275694438537	-0.245689001284358	0.275255096837567
ACTL7B	49.1296614584472	0.283680947784931	0.208335572097855
ACTL8	30.4932725704582	0.143560066915451	0.522742544508694
ACTR2	75.8688281243024	0.307525037097886	0.172977581550769
ACVR1	6.00363715168729	0.0640646613530871	0.775250327269108
ACVR1C	13.598958332947	0.10130246076434	0.651778845556101
ACVR2A	-53.2465885413025	-0.0942656803124683	0.674499229034572
ADAM2	-37.3348871539482	-0.123055465259275	0.583671987495116
ADAM29	-36.8860156253753	-0.309577415811294	0.170161885964553
ADCK1	8.45312499994785	0.119678373345148	0.594021830165554
ADD1	46.9194097220519	0.147330143296466	0.511912952373888
ADSL	-58.618524305136	-0.270774334085066	0.229574870592202
AFF4	748.521336806821	0.425264992252353	0.0608838674241342
AFP	-20.3320312509795	-0.152988083621498	0.495887077405615
AGR2	-27.0929166668968	-0.0986247654441081	0.660387280305716
AHSG	-9.73166666703172	-0.0638623489880991	0.775940724043183
AICDA	-12.2031336805731	-0.0928406797998206	0.679138214917136
AIF1	-37.2149479156149	-0.404654308823652	0.0741992984778413
AIFM2	-20.3218315975418	-0.244053036922057	0.27843998900025
AIFM3	-10.5956944438031	-0.107562138292121	0.631840041751163
AIM2	-2.8149739601043	-0.0241547387727841	0.914254621048401
AK1	-113.702335068573	-0.301508623473697	0.181436197707471
AK2	348.928619791105	0.226152357416797	0.314959782914769
AK3	-227.847743054802	-0.279854610635318	0.214475119805256
AK4	-81.3533420141348	-0.489144430574468	0.0316995369822369
AK7	47.6471006946769	0.104501716975137	0.64155542979466
AK9	0.137491319279727	0.000724829251588259	0.997421910029916
AKAP3	-122.268454861021	-0.263089160242083	0.242945193316631
AKAP4	-21.1969270839064	-0.130671744113461	0.560649915028148
AKT1	19.6696527777699	0.247736014538417	0.271305792466145
AKT3	1.16045138858333	0.0205657460218221	0.926955446643347
ALDOA	-238.295546874906	-0.205159981750177	0.361707263400164
ALOX15	9.52135416681198	0.0642511862993863	0.774613965909269
ALOX15B	-47.6923958334279	-0.184516944244489	0.411783258350288
ALPK1	6.60562499890646	0.0743960853567997	0.74024620865966
ALX1	67.1028125001137	0.143464758654014	0.5230178651786
AMD1	43.4064409721334	0.400197180104507	0.0773775267980502
