	coef	cohenD	pval
CRYBB2_10000-28	65.895	0.279210685168599	0.215521271767005
RAF1_10001-7	16.605	0.0498520637579524	0.824160958440377
ZNF41_10003-15	-1.4375	-0.029902711176063	0.893961317313634
ELK1_10006-25	20.1325	0.170927576731073	0.446928543405103
GUCA1A_10008-43	24.485	0.321160847669185	0.154922857751563
BECN1_10010-10	-22.0225	-0.287488688124912	0.202355759714704
OCRL_10011-65	-87.1650000000001	-0.134989000491036	0.54780199676595
SPDEF_10012-5	28.5175	0.149797016584618	0.504891938776602
SNAI2_10014-31	-128.665	-0.415272015679304	0.0670642461589176
KCNAB2_10015-119	-34.7175	-0.137875767242875	0.539294679319867
POLH_10022-207	115.0225	0.223165795981053	0.321352021049646
VDR_10023-32	9.51749999999998	0.123180966827565	0.583289015727513
HOGA1_10024-44	283.9225	0.240536911352786	0.285371426770885
DLD_10025-1	112.3625	0.0998568853603034	0.656420397548302
MUTYH_10030-8	33.7775	0.466731772733167	0.0401276535407683
DUSP4_10035-6	-50.6525	-0.239442271118833	0.287553394384673
ZHX3_10036-201	82.7174999999999	0.0707946162425929	0.752390526411364
SIGLEC12_10037-98	-15.3675	-0.18388716354807	0.413374187637981
PNP_10039-32	-761.2475	-0.110648273823176	0.622108217203187
TP63_10040-63	-20.7975	-0.0976833459217755	0.663424813437614
HNF4A_10041-3	-1833.3075	-0.363651032029985	0.10792019382394
SGK3_10042-8	13.295	0.0721377787824625	0.747853824969799
BRD4_10043-31	-43.5775	-0.282784918874007	0.209761520754857
WNT10A_10044-12	65.9175	0.304525112090429	0.177156920346071
CUL3_10045-47	35.75	0.10533852135434	0.638892657576617
BIRC2_10046-55	-171.8825	-0.400413165183606	0.0772209495517174
NCF2_10047-12	-1295.915	-0.242962758613553	0.280576682805797
CBFB_10048-7	-25.71	-0.167866633660335	0.455078567660504
TERF1_10049-112	18.325	0.318048014981078	0.158910348369405
ILK_10053-5	426.282500000001	0.0681090303512865	0.761487478388734
GAN_10054-3	16.0075	0.0880383486705558	0.694862402338608
FOXM1_10056-5	-26.3800000000001	-0.025143180969162	0.91076046913633
RAD23A_10058-1	1095.795	0.231516829674522	0.303693298366512
FANCL_10063-10	21.0425	0.178316086810692	0.427608505826531
RBBP9_10064-12	-234.6425	-0.312119604361966	0.166722918694835
PIN1_10069-2	-30.335	-0.194891940686213	0.386110640659494
PLCG2_10070-22	-300.2475	-0.200325306483276	0.373072322700528
TDP1_10073-22	-85.415	-0.282726654380687	0.209854492213931
BRD2_10074-128	0.212499999999955	0.00107115722833988	0.996190090422354
ACBD6_10075-75	-165.575	-0.0992292389771181	0.658439917483111
AP4M1_10076-1	90.4775	0.0805518670714837	0.71964213949119
BAG3_10078-5	11.0475	0.191377319961444	0.394693800777412
EIF2B1_10080-9	86.9524999999999	0.0652798040518168	0.77110744548688
SATB2_10081-17	23.72	0.368261862103834	0.103598422146031
NEFL_10082-251	-55.5825	-0.375343251408334	0.097235037143369
STAR_10085-25	-245.8325	-0.439540801706314	0.0528939575355099
CBS_10086-39	912.95	0.287465981406524	0.202391037319593
CRYAA_10087-10	4.84	0.181326608694038	0.41988067566128
APRT_10088-37	607.4025	0.0895265839160686	0.68997478001931
ASMTL_10089-7	96.6549999999999	0.172216272323126	0.44352275631887
STUB1_10336-3	273.41	0.171785670122964	0.444659074827753
ENO2_10339-48	-1245.9125	-0.323552543730926	0.151912093326448
PIAS4_10342-55	-2.8225	-0.029894598054402	0.893989914249897
IL10RA_10344-334	112.1075	0.19675983368817	0.381596643306438
STAT3_10346-5	5099.89	0.415556784383472	0.0668810977741756
IRF1_10351-51	138.685	0.172308456232147	0.443279711625833
STAT3_10354-57	725.917499999999	0.146329558175411	0.514775469958348
JUN_10356-21	147.195	0.15204497032358	0.498539319050615
OAS1_10361-25	-132.8025	-0.433010099804838	0.0564309588741564
MYC_10362-35	21.745	0.269005268563985	0.232604328570516
SMAD3_10363-13	1348.31	0.27441342543968	0.223433250807005
SMAD2_10364-6	887.1275	0.143618412321715	0.52257403732174
IL12B|IL23A_10365-132	57.5925	0.186249712279585	0.407425150291075
PDGFRA_10366-11	86.7149999999999	0.116283949135376	0.604510209140114
IL12A|IL12B_10367-62	9.76749999999999	0.267274950494089	0.235595300109436
STAT1_10370-21	67.0524999999999	0.0456084100339173	0.838910511845381
STAT6_10372-18	-412.8425	-0.0805738429303208	0.719568944055027
ANGPTL3_10382-1	-1286.155	-0.0993249629831965	0.658131750507684
ZNRF3_10390-21	16.125	0.131391032908249	0.558499060228795
ANGPTL3_10391-1	-62.8675000000001	-0.103759995179381	0.643919579012
MCL1_10396-6	14.7575	0.245768908810055	0.275100184825957
ANKRD1_10398-110	-2.12500000000003	-0.0551459330129993	0.805850142419164
STX12_10418-36	456.705	0.152978031894746	0.495915304545717
SCARA5_10419-1	193.825	0.0872207408951577	0.697553096833302
FAIM_10420-30	45.8225	0.188159042954285	0.402655566065491
NPDC1_10424-31	-21.005	-0.171190456212827	0.446232572152534
B4GALT5_10425-3	24.935	0.15934085123112	0.478223361897244
GOSR2_10426-21	12.8775	0.228426183656757	0.31015052965857
KIR2DS2_10428-1	-153.11	-0.24279191153488	0.280912529653811
SLC3A2_10430-31	2.93	0.0759383482211037	0.735065537377829
SHISAL1_10432-3	7.79749999999999	0.432710042064399	0.0565981806927517
AGA_10435-2	0.832499999999989	0.00841457905906921	0.970077924213977
CSF2RA_10438-19	-96.53	-0.536670851613216	0.0187762284702152
AMY2B_10439-57	541.3525	0.316914629053288	0.160381702503234
CLMP_10440-26	-72.4225000000001	-0.239307088445203	0.287823650540297
TMEM190_10442-1	70.9575	0.25992413998505	0.248610778907653
APOM_10445-20	-5.70249999999998	-0.0383042217299724	0.864430176519725
PABPC3_10447-18	165.6725	0.137754988808426	0.539649257403624
SHISA2_10449-31	43.8999999999999	0.11422971622279	0.610898417348407
NUCB1_10451-11	-177.0225	-0.375626859450106	0.0969869691755822
